signal,mean_ic,t_stat,n_significant,pct_positive,status
ema_cross_20_100_h21d,-0.11090540536741587,0.0,77,8.98876404494382,PASS
mom_63d_h21d,-0.11051921829727307,0.0,67,8.98876404494382,PASS
ema_cross_10_50_h21d,-0.08348606608256015,0.0,63,12.359550561797752,PASS
range_pct_h21d,0.0008084053237426899,0.0,64,47.19101123595505,PASS
mr_zscore_63_h21d,0.06443085533241129,0.0,60,83.14606741573034,PASS
mom_21d_h21d,-0.05232025568846906,0.0,56,21.34831460674157,PASS
rsi_14_h21d,0.049439144179101314,0.0,57,77.52808988764045,PASS
breakout_20_h21d,-0.049586755294886424,0.0,51,20.224719101123593,PASS
mr_zscore_21_h21d,0.04494124042358521,0.0,53,83.14606741573034,PASS
ema_cross_20_100_h5d,-0.05179739227426115,0.0,51,8.98876404494382,PASS
range_pct_h5d,0.01740530664347,0.0,43,56.17977528089888,PASS
ema_cross_10_50_h5d,-0.04417154686241855,0.0,46,7.865168539325842,PASS
vol_ratio_5_60_h21d,0.014286041002335804,0.0,39,66.29213483146067,PASS
mr_zscore_10_h21d,0.033777708497202005,0.0,40,82.02247191011236,PASS
mom_63d_h5d,-0.03848517462619105,0.0,33,20.224719101123593,PASS
mom_21d_h5d,-0.03139976978984638,0.0,39,19.101123595505616,PASS
mr_zscore_63_h5d,0.029871524925658997,0.0,25,85.39325842696628,PASS
mom_5d_h21d,-0.029526776943457036,0.0,31,16.853932584269664,PASS
breakout_20_h5d,-0.026075050779964876,0.0,32,19.101123595505616,PASS
mr_zscore_21_h5d,0.024024556996457627,0.0,26,75.28089887640449,PASS
mr_zscore_10_h5d,0.02184783397609892,0.0,29,67.41573033707866,PASS
mom_5d_h5d,-0.02314989287418362,0.0,29,28.08988764044944,PASS
rsi_14_h5d,0.025790019277299205,0.0,30,83.14606741573034,PASS
vol_ratio_5_60_h5d,0.00428510531710443,0.0,20,53.93258426966292,WEAK
ema_cross_20_100_h1d,-0.02317459680732037,0.0,8,8.98876404494382,FAIL
ema_cross_10_50_h1d,-0.02169516962959967,0.0,7,8.98876404494382,FAIL
range_pct_h1d,0.011496911021009184,0.0,11,64.04494382022472,WEAK
mom_63d_h1d,-0.01745113105074282,0.0,4,13.48314606741573,FAIL
mom_21d_h1d,-0.013587040669634308,0.0,3,16.853932584269664,FAIL
mr_zscore_10_h1d,0.009440948085626387,0.0,10,70.78651685393258,FAIL
mr_zscore_63_h1d,0.011966177847852196,0.0,6,77.52808988764045,FAIL
vol_ratio_5_60_h1d,0.0020619626572775523,0.0,6,50.56179775280899,FAIL
rsi_14_h1d,0.009688810905362735,0.0,4,74.15730337078652,FAIL
mom_5d_h1d,-0.008995948348518001,0.0,5,28.08988764044944,FAIL
breakout_20_h1d,-0.007242222728430326,0.0,5,33.70786516853933,FAIL
mr_zscore_21_h1d,0.0068409218819507735,0.0,7,66.29213483146067,FAIL
mr_highvol_h21d,0.015874823806487033,0.0,42,65.1685393258427,PASS
mr_highvol_h5d,0.00039435685247601686,0.0,13,50.56179775280899,WEAK
mr_highvol_h1d,-0.0027646564938840633,0.0,6,41.57303370786517,FAIL
trend_confirmed_h1d,-0.016898018827804187,0.0,7,12.359550561797752,FAIL
mom_lowvol_h1d,-0.01949759678531795,0.0,9,20.224719101123593,FAIL
mom_lowvol_h5d,-0.03043104113950439,0.0,40,26.96629213483146,PASS
trend_confirmed_h5d,-0.03703012216384692,0.0,39,15.730337078651685,PASS
mom_lowvol_h21d,-0.05469910448425032,0.0,48,22.47191011235955,PASS
trend_confirmed_h21d,-0.07866031149647489,0.0,62,13.48314606741573,PASS
carry_ls_portfolio,0.05311204693040165,0.03287204659920978,0,46.41532756489493,FAIL
gold_200ma_XAU_AUD,0.5637054706439518,0.5529066787166124,1,30.0,PASS
gold_ema_20_50_XAU_AUD,0.566731607665047,0.5606352069937287,1,32.193548387096776,PASS
gold_ema_10_50_XAU_AUD,0.5310440352936013,0.5206138492622252,1,30.06451612903226,PASS
gold_ema_50_200_XAU_AUD,0.4637552089606573,0.4611721184281076,0,35.80645161290323,WEAK
gold_200ma_XAU_CAD,0.42654469273252327,0.4149604901281488,0,26.552598225602026,WEAK
gold_ema_20_50_XAU_CAD,0.4128734793008959,0.40556134198028987,0,30.60836501901141,WEAK
gold_ema_10_50_XAU_CAD,0.3461343634868493,0.33726505127187695,0,30.418250950570343,WEAK
gold_ema_50_200_XAU_CAD,0.38008606384460136,0.3770887847277672,0,31.93916349809886,WEAK
gold_200ma_XAU_CHF,0.17885264253784922,0.1631150166803461,0,28.607755880483154,FAIL
gold_ema_20_50_XAU_CHF,0.4848249552085769,0.47559977102849915,0,31.977113795295615,WEAK
gold_ema_10_50_XAU_CHF,0.30416648989002393,0.2914070097734092,0,30.38779402415766,FAIL
gold_ema_50_200_XAU_CHF,0.4237816720697172,0.4213392131988253,0,37.63509218054673,WEAK
gold_200ma_XAU_EUR,0.5351251486237485,0.5228668023959017,1,26.4819587628866,PASS
gold_ema_20_50_XAU_EUR,0.525941028127555,0.5178413050056491,1,30.863402061855673,PASS
gold_ema_10_50_XAU_EUR,0.2958365863409622,0.2841385360352922,0,29.445876288659793,FAIL
gold_ema_50_200_XAU_EUR,0.48158265039693093,0.4783377911540531,0,32.925257731958766,WEAK
gold_200ma_XAU_GBP,0.3212168334485431,0.31040539142173057,0,26.67095115681234,WEAK
gold_ema_20_50_XAU_GBP,0.5951308688574661,0.5896600660788237,1,30.46272493573265,PASS
